date,S_sutra,U,T,R_sutra,population_N
2020-01-22,7899997335.0,2108.0,527,30,7900000000
2020-01-23,7899996843.0,2500.0,625,32,7900000000
2020-01-24,7899995436.0,3620.0,905,39,7900000000
2020-01-25,7899992983.0,5580.0,1395,42,7900000000
2020-01-26,7899989624.0,8256.0,2064,56,7900000000
2020-01-27,7899985615.0,11456.0,2864,65,7900000000
2020-01-28,7899972532.0,21888.0,5472,108,7900000000
2020-01-29,7899969663.0,24168.0,6042,127,7900000000
2020-01-30,7899959395.0,32368.0,8092,145,7900000000
2020-01-31,7899951265.0,38808.0,9702,225,7900000000
2020-02-01,7899940958.0,47004.0,11751,287,7900000000
2020-02-02,7899917969.0,65244.0,16311,476,7900000000
2020-02-03,7899903073.0,77040.0,19260,627,7900000000
2020-02-04,7899883933.0,92168.0,23042,857,7900000000
2020-02-05,7899866300.0,106056.0,26514,1130,7900000000
2020-02-06,7899851942.0,117252.0,29313,1493,7900000000
2020-02-07,7899836064.0,129536.0,32384,2016,7900000000
2020-02-08,7899824813.0,138056.0,34514,2617,7900000000
2020-02-09,7899812178.0,147660.0,36915,3247,7900000000
2020-02-10,7899801941.0,155288.0,38822,3949,7900000000
2020-02-11,7899794666.0,160520.0,40130,4684,7900000000
2020-02-12,7899794444.0,160324.0,40081,5151,7900000000
2020-02-13,7899723256.0,216360.0,54090,6294,7900000000
2020-02-14,7899697684.0,235404.0,58851,8061,7900000000
2020-02-15,7899692313.0,238632.0,59658,9397,7900000000
2020-02-16,7899687278.0,241484.0,60371,10867,7900000000
2020-02-17,7899683983.0,242744.0,60686,12587,7900000000
2020-02-18,7899681633.0,243212.0,60803,14352,7900000000
2020-02-19,7899686217.0,238128.0,59532,16123,7900000000
2020-02-20,7899691644.0,232140.0,58035,18181,7900000000
2020-02-21,7899691346.0,231808.0,57952,18894,7900000000
2020-02-22,7899698528.0,222864.0,55716,22892,7900000000
2020-02-23,7899698638.0,222372.0,55593,23397,7900000000
2020-02-24,7899703126.0,217316.0,54329,25229,7900000000
2020-02-25,7899709568.0,210020.0,52505,27907,7900000000
2020-02-26,7899714632.0,203984.0,50996,30388,7900000000
2020-02-27,7899719488.0,197784.0,49446,33282,7900000000
2020-02-28,7899726096.0,189752.0,47438,36714,7900000000
2020-02-29,7899729025.0,184952.0,46238,39785,7900000000
2020-03-01,7899728874.0,182724.0,45681,42721,7900000000
2020-03-02,7899730510.0,179108.0,44777,45605,7900000000
2020-03-03,7899727938.0,179068.0,44767,48227,7900000000
2020-03-04,7899727990.0,176672.0,44168,51170,7900000000
2020-03-05,7899724794.0,177128.0,44282,53796,7900000000
2020-03-06,7899713146.0,184792.0,46198,55864,7900000000
2020-03-07,7899702437.0,191364.0,47841,58358,7900000000
2020-03-08,7899692795.0,197208.0,49302,60695,7900000000
2020-03-09,7899678520.0,207188.0,51797,62495,7900000000
2020-03-10,7899662353.0,218596.0,54649,64402,7900000000
2020-03-11,7899635361.0,238112.0,59528,66999,7900000000
2020-03-12,7899606897.0,259820.0,64955,68328,7900000000
2020-03-13,7899548635.0,304888.0,76222,70255,7900000000
2020-03-14,7899503663.0,338972.0,84743,72622,7900000000
2020-03-15,7899461134.0,370268.0,92567,76031,7900000000
2020-03-16,7899396519.0,420316.0,105079,78086,7900000000
2020-03-17,7899331625.0,470036.0,117509,80830,7900000000
2020-03-18,7899253768.0,530332.0,132583,83317,7900000000
2020-03-19,7899124897.0,632116.0,158029,84958,7900000000
2020-03-20,7898987027.0,740456.0,185114,87403,7900000000
2020-03-21,7898841880.0,853176.0,213294,91650,7900000000
2020-03-22,7898695688.0,965156.0,241289,97867,7900000000
2020-03-23,7898484865.0,1133424.0,283356,98355,7900000000
2020-03-24,7898313926.0,1262480.0,315620,107974,7900000000
2020-03-25,7898079637.0,1445288.0,361322,113753,7900000000
2020-03-26,7897809055.0,1655056.0,413764,122125,7900000000
2020-03-27,7897524540.0,1875640.0,468910,130910,7900000000
2020-03-28,7897210674.0,2119924.0,529981,139421,7900000000
2020-03-29,7896965918.0,2308164.0,577041,148877,7900000000
2020-03-30,7896702207.0,2506864.0,626716,164213,7900000000
2020-03-31,7896364357.0,2766272.0,691568,177803,7900000000
2020-04-01,7895993660.0,3050612.0,762653,193075,7900000000
2020-04-02,7895649992.0,3311832.0,827958,210218,7900000000
2020-04-03,7895290630.0,3586984.0,896746,225640,7900000000
2020-04-04,7895071673.0,3745820.0,936455,246052,7900000000
2020-04-05,7894768442.0,3977336.0,994334,259888,7900000000
2020-04-06,7894461648.0,4209404.0,1052351,276597,7900000000
2020-04-07,7894210006.0,4392108.0,1098027,299859,7900000000
2020-04-08,7893914654.0,4605284.0,1151321,328741,7900000000
2020-04-09,7893579765.0,4852992.0,1213248,353995,7900000000
2020-04-10,7893234607.0,5111728.0,1277932,375733,7900000000
2020-04-11,7892962032.0,5308788.0,1327197,401983,7900000000
2020-04-12,7892446659.0,5705580.0,1426395,421366,7900000000
2020-04-13,7892196527.0,5883880.0,1470970,448623,7900000000
2020-04-14,7891873658.0,6122116.0,1530529,473697,7900000000
2020-04-15,7891628534.0,6288984.0,1572246,510236,7900000000
2020-04-16,7891279726.0,6543324.0,1635831,541119,7900000000
2020-04-17,7890945062.0,6790108.0,1697527,567303,7900000000
2020-04-18,7890649266.0,7007652.0,1751913,591169,7900000000
2020-04-19,7890394788.0,7185808.0,1796452,622952,7900000000
2020-04-20,7890101090.0,7403024.0,1850756,645130,7900000000
2020-04-21,7889859863.0,7568164.0,1892041,679932,7900000000
2020-04-22,7889570013.0,7775976.0,1943994,710017,7900000000
2020-04-23,7889271348.0,7991924.0,1997981,738747,7900000000
2020-04-24,7889053649.0,8126060.0,2031515,788776,7900000000
2020-04-25,7888748644.0,8347860.0,2086965,816531,7900000000
2020-04-26,7888509917.0,8515792.0,2128948,845343,7900000000
2020-04-27,7888266533.0,8688192.0,2172048,873227,7900000000
2020-04-28,7888020221.0,8858672.0,2214668,906439,7900000000
2020-04-29,7887801889.0,8999676.0,2249919,948516,7900000000
2020-04-30,7887644093.0,9073820.0,2268455,1013632,7900000000
2020-05-01,7887351991.0,9276976.0,2319244,1051789,7900000000
2020-05-02,7887123285.0,9427420.0,2356855,1092440,7900000000
2020-05-03,7886883432.0,9593276.0,2398319,1124973,7900000000
2020-05-04,7886631591.0,9767480.0,2441870,1159059,7900000000
2020-05-05,7886379058.0,9940328.0,2485082,1195532,7900000000
2020-05-06,7886111424.0,10117540.0,2529385,1241651,7900000000
2020-05-07,7885823834.0,10315992.0,2578998,1281176,7900000000
2020-05-08,7885517071.0,10532272.0,2633068,1317589,7900000000
2020-05-09,7885309120.0,10655880.0,2663970,1371030,7900000000
2020-05-10,7885068241.0,10821536.0,2705384,1404839,7900000000
2020-05-11,7884875076.0,10938560.0,2734640,1451724,7900000000
2020-05-12,7884596844.0,11131512.0,2782878,1488766,7900000000
2020-05-13,7884398592.0,11245416.0,2811354,1544638,7900000000
2020-05-14,7884079226.0,11469140.0,2867285,1584349,7900000000
2020-05-15,7883792128.0,11660336.0,2915084,1632452,7900000000
2020-05-16,7883548322.0,11810252.0,2952563,1688863,7900000000
2020-05-17,7883320539.0,11959672.0,2989918,1729871,7900000000
2020-05-18,7883086543.0,12104536.0,3026134,1782787,7900000000
2020-05-19,7882815661.0,12279600.0,3069900,1834839,7900000000
2020-05-20,7882524426.0,12465412.0,3116353,1893809,7900000000
2020-05-21,7882199441.0,12684424.0,3171106,1945029,7900000000
2020-05-22,7882096919.0,12679604.0,3169901,2053576,7900000000
2020-05-23,7881795505.0,12876868.0,3219217,2108410,7900000000
2020-05-24,7881551533.0,13027624.0,3256906,2163937,7900000000
2020-05-25,7881365334.0,13125600.0,3281400,2227666,7900000000
2020-05-26,7881124132.0,13274440.0,3318610,2282818,7900000000
2020-05-27,7880864660.0,13431356.0,3357839,2346145,7900000000
2020-05-28,7880532147.0,13643876.0,3410969,2413008,7900000000
2020-05-29,7880234027.0,13820560.0,3455140,2490273,7900000000
2020-05-30,7879840612.0,14078932.0,3519733,2560723,7900000000
2020-05-31,7879631848.0,14184836.0,3546209,2637107,7900000000
2020-06-01,7879350228.0,14366192.0,3591548,2692032,7900000000
2020-06-02,7879153471.0,14440308.0,3610077,2796144,7900000000
2020-06-03,7878913755.0,14568808.0,3642202,2875235,7900000000
2020-06-04,7878502885.0,14841448.0,3710362,2945305,7900000000
2020-06-05,7878112515.0,15098412.0,3774603,3014470,7900000000
2020-06-06,7877754681.0,15326916.0,3831729,3086674,7900000000
2020-06-07,7877420057.0,15550528.0,3887632,3141783,7900000000
2020-06-08,7877511261.0,15356276.0,3839069,3293394,7900000000
2020-06-09,7877210431.0,15531124.0,3882781,3375664,7900000000
2020-06-10,7876841305.0,15763088.0,3940772,3454835,7900000000
2020-06-11,7876503891.0,15964316.0,3991079,3540714,7900000000
2020-06-12,7876185401.0,16155332.0,4038833,3620434,7900000000
2020-06-13,7875859429.0,16347396.0,4086849,3706326,7900000000
2020-06-14,7875482970.0,16591908.0,4147977,3777145,7900000000
2020-06-15,7875179510.0,16770456.0,4192614,3857420,7900000000
2020-06-16,7874851467.0,16954600.0,4238650,3955283,7900000000
2020-06-17,7874610781.0,17052084.0,4263021,4074114,7900000000
2020-06-18,7874219963.0,17299808.0,4324952,4155277,7900000000
2020-06-19,7873694943.0,17643832.0,4410958,4250267,7900000000
2020-06-20,7873228944.0,17923948.0,4480987,4366121,7900000000
2020-06-21,7873038378.0,18021452.0,4505363,4434807,7900000000
2020-06-22,7872693250.0,18224248.0,4556062,4526440,7900000000
2020-06-23,7872268855.0,18480520.0,4620130,4630495,7900000000
2020-06-24,7871874679.0,18703260.0,4675815,4746246,7900000000
2020-06-25,7871348640.0,19049784.0,4762446,4839130,7900000000
2020-06-26,7870810110.0,19395824.0,4848956,4945110,7900000000
2020-06-27,7870353194.0,19676328.0,4919082,5051396,7900000000
2020-06-28,7869867721.0,19993344.0,4998336,5140599,7900000000
2020-06-29,7869482595.0,20225788.0,5056447,5235170,7900000000
2020-06-30,7869033100.0,20491512.0,5122878,5352510,7900000000
2020-07-01,7868421116.0,20888368.0,5222092,5468424,7900000000
2020-07-02,7868536002.0,20568512.0,5142128,5753358,7900000000
2020-07-03,7867962364.0,20939512.0,5234878,5863246,7900000000
2020-07-04,7867796834.0,20915328.0,5228832,6059006,7900000000
2020-07-05,7867343186.0,21182756.0,5295689,6178369,7900000000
2020-07-06,7866996617.0,21361052.0,5340263,6302068,7900000000
2020-07-07,7866528904.0,21619196.0,5404799,6447101,7900000000
2020-07-08,7866084698.0,21848116.0,5462029,6605157,7900000000
2020-07-09,7865500190.0,22208028.0,5552007,6739775,7900000000
2020-07-10,7864893569.0,22581768.0,5645442,6879221,7900000000
2020-07-11,7864332237.0,22930280.0,5732570,7004913,7900000000
2020-07-12,7863814921.0,23254664.0,5813666,7116749,7900000000
2020-07-13,7863403823.0,23471284.0,5867821,7257072,7900000000
2020-07-14,7862867696.0,23786384.0,5946596,7399324,7900000000
2020-07-15,7862357990.0,24066304.0,6016576,7559130,7900000000
2020-07-16,7861743370.0,24436012.0,6109003,7711615,7900000000
2020-07-17,7861289954.0,24652008.0,6163002,7895036,7900000000
2020-07-18,7860716397.0,24990224.0,6247556,8045823,7900000000
2020-07-19,7860009174.0,25485556.0,6371389,8133881,7900000000
2020-07-20,7859604966.0,25681620.0,6420405,8293009,7900000000
2020-07-21,7859088645.0,25954920.0,6488730,8467705,7900000000
2020-07-22,7858430793.0,26337416.0,6584354,8647437,7900000000
2020-07-23,7857737558.0,26751020.0,6687755,8823667,7900000000
2020-07-24,7857233228.0,26971844.0,6742961,9051967,7900000000
2020-07-25,7856864691.0,27090824.0,6772706,9271779,7900000000
2020-07-26,7856378850.0,27364856.0,6841214,9415080,7900000000
2020-07-27,7855892452.0,27616868.0,6904217,9586463,7900000000
2020-07-28,7855254849.0,27990584.0,6997646,9756921,7900000000
2020-07-29,7854714023.0,28261176.0,7065294,9959507,7900000000
2020-07-30,7854159194.0,28534224.0,7133556,10173026,7900000000
2020-07-31,7853520308.0,28885648.0,7221412,10372632,7900000000
2020-08-01,7853012597.0,29147088.0,7286772,10553543,7900000000
2020-08-02,7852414438.0,29514636.0,7378659,10692267,7900000000
2020-08-03,7852273933.0,29449084.0,7362271,10914712,7900000000
2020-08-04,7851842041.0,29615672.0,7403918,11138369,7900000000
2020-08-05,7851353041.0,29829516.0,7457379,11360064,7900000000
2020-08-06,7850674759.0,30221096.0,7555274,11548871,7900000000
2020-08-07,7850030773.0,30582648.0,7645662,11740917,7900000000
2020-08-08,7849505614.0,30842580.0,7710645,11941161,7900000000
2020-08-09,7849055751.0,31059448.0,7764862,12119939,7900000000
2020-08-10,7848546535.0,31335452.0,7833863,12284150,7900000000
2020-08-11,7848438992.0,31177432.0,7794358,12589218,7900000000
2020-08-12,7848026222.0,31315132.0,7828783,12829863,7900000000
2020-08-13,7847231416.0,31819844.0,7954961,12993779,7900000000
2020-08-14,7846829019.0,31915168.0,7978792,13277021,7900000000
2020-08-15,7846258305.0,32236856.0,8059214,13445625,7900000000
2020-08-16,7846139916.0,32145204.0,8036301,13678579,7900000000
2020-08-17,7845919554.0,32152684.0,8038171,13889591,7900000000
2020-08-18,7845532914.0,32279920.0,8069980,14117186,7900000000
2020-08-19,7845017532.0,32517828.0,8129457,14335183,7900000000
2020-08-20,7844491297.0,32772584.0,8193146,14542973,7900000000
2020-08-21,7843855508.0,33146420.0,8286605,14711467,7900000000
2020-08-22,7843377531.0,33360868.0,8340217,14921384,7900000000
2020-08-23,7843229860.0,33305780.0,8326445,15137915,7900000000
2020-08-24,7842887044.0,33420496.0,8355124,15337336,7900000000
2020-08-25,7842587200.0,33475132.0,8368783,15568885,7900000000
2020-08-26,7842081681.0,33698960.0,8424740,15794619,7900000000
2020-08-27,7841474314.0,34019064.0,8504766,16001856,7900000000
2020-08-28,7840851091.0,34358348.0,8589587,16200974,7900000000
2020-08-29,7840393073.0,34555632.0,8638908,16412387,7900000000
2020-08-30,7840135343.0,34593624.0,8648406,16622627,7900000000
2020-08-31,7839616968.0,34847692.0,8711923,16823417,7900000000
2020-09-01,7839314396.0,34883380.0,8720845,17081379,7900000000
2020-09-02,7838781894.0,35133992.0,8783498,17300616,7900000000
2020-09-03,7838240220.0,35390236.0,8847559,17521985,7900000000
2020-09-04,7837585564.0,35743160.0,8935790,17735486,7900000000
2020-09-05,7837020911.0,36034092.0,9008523,17936474,7900000000
2020-09-06,7836723085.0,36102920.0,9025730,18148265,7900000000
2020-09-07,7836426862.0,36181860.0,9045465,18345813,7900000000
2020-09-08,7836001490.0,36360720.0,9090180,18547610,7900000000
2020-09-09,7835536008.0,36540892.0,9135223,18787877,7900000000
2020-09-10,7834880687.0,36891820.0,9222955,19004538,7900000000
2020-09-11,7834193557.0,37262588.0,9315647,19228208,7900000000
2020-09-12,7833641668.0,37525752.0,9381438,19451142,7900000000
2020-09-13,7833148885.0,37769700.0,9442425,19638990,7900000000
2020-09-14,7832727181.0,37924264.0,9481066,19867489,7900000000
2020-09-15,7832229569.0,38141324.0,9535331,20093776,7900000000
2020-09-16,7831622717.0,38443224.0,9610806,20323253,7900000000
2020-09-17,7830925696.0,38824672.0,9706168,20543464,7900000000
2020-09-18,7830297062.0,39126660.0,9781665,20794613,7900000000
2020-09-19,7829779407.0,39351196.0,9837799,21031598,7900000000
2020-09-20,7829452070.0,39423404.0,9855851,21268675,7900000000
2020-09-21,7829134437.0,39481128.0,9870282,21514153,7900000000
2020-09-22,7828590414.0,39740832.0,9935208,21733546,7900000000
2020-09-23,7828085801.0,39933792.0,9983448,21996959,7900000000
2020-09-24,7827503716.0,40194924.0,10048731,22252629,7900000000
2020-09-25,7826807478.0,40560548.0,10140137,22491837,7900000000
2020-09-26,7826425495.0,40656420.0,10164105,22753980,7900000000
2020-09-27,7826046041.0,40788880.0,10197220,22967859,7900000000
2020-09-28,7825629964.0,40943708.0,10235927,23190401,7900000000
2020-09-29,7825181100.0,41109772.0,10277443,23431685,7900000000
2020-09-30,7824551237.0,41415088.0,10353772,23679903,7900000000
2020-10-01,7823841845.0,41805368.0,10451342,23901445,7900000000
2020-10-02,7822883460.0,42434248.0,10608562,24073730,7900000000
2020-10-03,7822419089.0,42601264.0,10650316,24329331,7900000000
2020-10-04,7822005065.0,42754756.0,10688689,24551490,7900000000
2020-10-05,7821398212.0,43050264.0,10762566,24788958,7900000000
2020-10-06,7820748101.0,43384252.0,10846063,25021584,7900000000
2020-10-07,7820022895.0,43760264.0,10940066,25276775,7900000000
2020-10-08,7819104314.0,44319524.0,11079881,25496281,7900000000
2020-10-09,7818129459.0,44933976.0,11233494,25703071,7900000000
2020-10-10,7817133459.0,45574452.0,11393613,25898476,7900000000
2020-10-11,7816576549.0,45841868.0,11460467,26121116,7900000000
2020-10-12,7815926900.0,46201492.0,11550373,26321235,7900000000
2020-10-13,7815099820.0,46709200.0,11677300,26513680,7900000000
2020-10-14,7814045040.0,47383196.0,11845799,26725965,7900000000
2020-10-15,7812839368.0,48181872.0,12045468,26933292,7900000000
2020-10-16,7811598824.0,49011896.0,12252974,27136306,7900000000
2020-10-17,7810531291.0,49707296.0,12426824,27334589,7900000000
2020-10-18,7809681120.0,50226224.0,12556556,27536100,7900000000
2020-10-19,7808616494.0,50915900.0,12728975,27738631,7900000000
2020-10-20,7807517912.0,51625608.0,12906402,27950078,7900000000
2020-10-21,7806164745.0,52539164.0,13134791,28161300,7900000000
2020-10-22,7804661532.0,53560300.0,13390075,28388093,7900000000
2020-10-23,7803018963.0,54708968.0,13677242,28594827,7900000000
2020-10-24,7801583562.0,55688024.0,13922006,28806408,7900000000
2020-10-25,7800578429.0,56334324.0,14083581,29003666,7900000000
2020-10-26,7799119749.0,57309960.0,14327490,29242801,7900000000
2020-10-27,7799136254.0,56824992.0,14206248,29832506,7900000000
2020-10-28,7797591257.0,57848220.0,14462055,30098468,7900000000
2020-10-29,7795821386.0,59066716.0,14766679,30345219,7900000000
2020-10-30,7793985772.0,60330588.0,15082647,30600993,7900000000
2020-10-31,7792602563.0,61241692.0,15310423,30845322,7900000000
2020-11-01,7791438406.0,61966660.0,15491665,31103269,7900000000
2020-11-02,7789817109.0,63039588.0,15759897,31383406,7900000000
2020-11-03,7787995831.0,64295352.0,16073838,31634979,7900000000
2020-11-04,7786652387.0,65146652.0,16286663,31914298,7900000000
2020-11-05,7784770337.0,66409368.0,16602342,32217953,7900000000
2020-11-06,7782807866.0,67748656.0,16937164,32506314,7900000000
2020-11-07,7781007975.0,68949356.0,17237339,32805330,7900000000
2020-11-08,7779566690.0,69899792.0,17474948,33058570,7900000000
2020-11-09,7778045872.0,70910804.0,17727701,33315623,7900000000
2020-11-10,7776221587.0,72164344.0,18041086,33572983,7900000000
2020-11-11,7774619158.0,73142108.0,18285527,33953207,7900000000
2020-11-12,7772323139.0,74797932.0,18699483,34179446,7900000000
2020-11-13,7770226997.0,76233140.0,19058285,34481578,7900000000
2020-11-14,7768403143.0,77469968.0,19367492,34759397,7900000000
2020-11-15,7766875043.0,78507840.0,19626960,34990157,7900000000
2020-11-16,7765809793.0,79047456.0,19761864,35380887,7900000000
2020-11-17,7764532597.0,79722340.0,19930585,35814478,7900000000
2020-11-18,7762873712.0,80758960.0,20189740,36177588,7900000000
2020-11-19,7761100978.0,81877708.0,20469427,36551887,7900000000
2020-11-20,7759152519.0,83152136.0,20788034,36907311,7900000000
2020-11-21,7757546744.0,84165340.0,21041335,37246581,7900000000
2020-11-22,7756151240.0,85062764.0,21265691,37520305,7900000000
2020-11-23,7755126042.0,85553952.0,21388488,37931518,7900000000
2020-11-24,7753660828.0,86428380.0,21607095,38303697,7900000000
2020-11-25,7752325073.0,87147056.0,21786764,38741107,7900000000
2020-11-26,7750846272.0,88036596.0,22009149,39107983,7900000000
2020-11-27,7748896066.0,89291460.0,22322865,39489609,7900000000
2020-11-28,7747297055.0,90282904.0,22570726,39849315,7900000000
2020-11-29,7746092082.0,90992256.0,22748064,40167598,7900000000
2020-11-30,7745168221.0,91409540.0,22852385,40569854,7900000000
2020-12-01,7743998522.0,91964336.0,22991084,41046058,7900000000
2020-12-02,7742648991.0,92673620.0,23168405,41508984,7900000000
2020-12-03,7740903942.0,93728072.0,23432018,41935968,7900000000
2020-12-04,7739384615.0,94551040.0,23637760,42426585,7900000000
2020-12-05,7737916647.0,95376656.0,23844164,42862533,7900000000
2020-12-06,7736461118.0,96288244.0,24072061,43178577,7900000000
2020-12-07,7735439444.0,96775072.0,24193768,43591716,7900000000
2020-12-08,7734049198.0,97534652.0,24383663,44032487,7900000000
2020-12-09,7732428368.0,98490132.0,24622533,44458967,7900000000
2020-12-10,7726916237.0,102506856.0,25626714,44950193,7900000000
2020-12-11,7725300042.0,103417300.0,25854325,45428333,7900000000
2020-12-12,7728076364.0,99992288.0,24998072,46933276,7900000000
2020-12-13,7726962870.0,100566988.0,25141747,47328395,7900000000
2020-12-14,7700247102.0,126731600.0,31682900,41338398,7900000000
2020-12-15,7698436653.0,127893428.0,31973357,41696562,7900000000
2020-12-16,7696297823.0,129314716.0,32328679,42058782,7900000000
2020-12-17,7694106449.0,130767488.0,32691872,42434191,7900000000
2020-12-18,7691770171.0,132382328.0,33095582,42751919,7900000000
2020-12-19,7689998990.0,133518004.0,33379501,43103505,7900000000
2020-12-20,7688369801.0,134599892.0,33649973,43380334,7900000000
2020-12-21,7687011571.0,135411900.0,33852975,43723554,7900000000
2020-12-22,7685207026.0,136564988.0,34141247,44086739,7900000000
2020-12-23,7683093111.0,137996808.0,34499202,44410879,7900000000
2020-12-24,7680884844.0,139511684.0,34877921,44725551,7900000000
2020-12-25,7679585148.0,140318156.0,35079539,45017157,7900000000
2020-12-26,7678554584.0,140816076.0,35204019,45425321,7900000000
2020-12-27,7677658166.0,141299300.0,35324825,45717709,7900000000
2020-12-28,7676355945.0,142102336.0,35525584,46016135,7900000000
2020-12-29,7674408950.0,143377456.0,35844364,46369230,7900000000
2020-12-30,7672335430.0,144725676.0,36181419,46757475,7900000000
2020-12-31,7669330118.0,146891260.0,36722815,47055807,7900000000
2021-01-01,7667724874.0,147932812.0,36983203,47359111,7900000000
2021-01-02,7665723734.0,149329576.0,37332394,47614296,7900000000
2021-01-03,7664196012.0,150336968.0,37584242,47882778,7900000000
2021-01-04,7662570439.0,151405100.0,37851275,48173186,7900000000
2021-01-05,7660127433.0,153107216.0,38276804,48488547,7900000000
2021-01-06,7657425368.0,155018368.0,38754592,48801672,7900000000
2021-01-07,7654371302.0,157202476.0,39300619,49125603,7900000000
2021-01-08,7651383279.0,159355084.0,39838771,49422866,7900000000
2021-01-09,7648922924.0,161059172.0,40264793,49753111,7900000000
2021-01-10,7646997429.0,162383128.0,40595782,50023661,7900000000
2021-01-11,7645086211.0,163679872.0,40919968,50313949,7900000000
2021-01-12,7642997759.0,165075788.0,41268947,50657506,7900000000
2021-01-13,7640745638.0,166584636.0,41646159,51023567,7900000000
2021-01-14,7638441728.0,168129488.0,42032372,51396412,7900000000
2021-01-15,7635804951.0,169982412.0,42495603,51717034,7900000000
2021-01-16,7633788811.0,171341680.0,42835420,52034089,7900000000
2021-01-17,7632413621.0,172189260.0,43047315,52349804,7900000000
2021-01-18,7631102398.0,172983236.0,43245809,52668557,7900000000
2021-01-19,7629750264.0,173742588.0,43435647,53071501,7900000000
2021-01-20,7627625318.0,175180328.0,43795082,53399272,7900000000
2021-01-21,7625746094.0,176390796.0,44097699,53765411,7900000000
2021-01-22,7623955692.0,177517712.0,44379428,54147168,7900000000
2021-01-23,7622338084.0,178558604.0,44639651,54463661,7900000000
2021-01-24,7621272002.0,179162704.0,44790676,54774618,7900000000
2021-01-25,7620122006.0,179831148.0,44957787,55089059,7900000000
2021-01-26,7618633618.0,180758224.0,45189556,55418602,7900000000
2021-01-27,7616991874.0,181799004.0,45449751,55759371,7900000000
2021-01-28,7615178935.0,182996828.0,45749207,56075030,7900000000
2021-01-29,7613690453.0,183896328.0,45974082,56439137,7900000000
2021-01-30,7612520797.0,184551120.0,46137780,56790303,7900000000
2021-01-31,7611693348.0,184981960.0,46245490,57079202,7900000000
2021-02-01,7610568906.0,185663400.0,46415850,57351844,7900000000
2021-02-02,7609642396.0,186124456.0,46531114,57702034,7900000000
2021-02-03,7608335539.0,186906064.0,46726516,58031881,7900000000
2021-02-04,7607152625.0,187617204.0,46904301,58325870,7900000000
2021-02-05,7605595248.0,188638076.0,47159519,58607157,7900000000
2021-02-06,7604597486.0,189200640.0,47300160,58901714,7900000000
2021-02-07,7603949486.0,189497092.0,47374273,59179149,7900000000
2021-02-08,7603181237.0,189925424.0,47481356,59411983,7900000000
2021-02-09,7602631219.0,190068152.0,47517038,59783591,7900000000
2021-02-10,7601506131.0,190752776.0,47688194,60052899,7900000000
2021-02-11,7600391636.0,191423504.0,47855876,60328984,7900000000
2021-02-12,7599394087.0,191991464.0,47997866,60616583,7900000000
2021-02-13,7598476619.0,192528444.0,48132111,60862826,7900000000
2021-02-14,7597715118.0,192981300.0,48245325,61058257,7900000000
2021-02-15,7597465460.0,192950136.0,48237534,61346870,7900000000
2021-02-16,7596608115.0,193447688.0,48361922,61582275,7900000000
2021-02-17,7595851984.0,193817440.0,48454360,61876216,7900000000
2021-02-18,7594744456.0,194514168.0,48628542,62112834,7900000000
2021-02-19,7593634690.0,195214272.0,48803568,62347470,7900000000
2021-02-20,7592835504.0,195638248.0,48909562,62616686,7900000000
2021-02-21,7592106717.0,196047472.0,49011868,62833943,7900000000
2021-02-22,7591359152.0,196499468.0,49124867,63016513,7900000000
2021-02-23,7590509962.0,196955916.0,49238979,63295143,7900000000
2021-02-24,7589123148.0,197897800.0,49474450,63504602,7900000000
2021-02-25,7587769096.0,198798888.0,49699722,63732294,7900000000
2021-02-26,7586600468.0,199525576.0,49881394,63992562,7900000000
2021-02-27,7585619671.0,200109636.0,50027409,64243284,7900000000
2021-02-28,7584781454.0,200640068.0,50160017,64418461,7900000000
2021-03-01,7584113653.0,201002368.0,50250592,64633387,7900000000
2021-03-02,7583627754.0,201175004.0,50293751,64903491,7900000000
2021-03-03,7582336156.0,202024756.0,50506189,65132899,7900000000
2021-03-04,7581045236.0,202857268.0,50714317,65383179,7900000000
2021-03-05,7579705191.0,203748216.0,50937054,65609539,7900000000
2021-03-06,7578581068.0,204458312.0,51114578,65846042,7900000000
2021-03-07,7577662128.0,205002808.0,51250702,66084362,7900000000
2021-03-08,7577233015.0,205126452.0,51281613,66358920,7900000000
2021-03-09,7576211727.0,205733696.0,51433424,66621153,7900000000
2021-03-10,7574858816.0,206627740.0,51656935,66856509,7900000000
2021-03-11,7573500884.0,207495992.0,51873998,67129126,7900000000
2021-03-12,7572128868.0,208378760.0,52094690,67397682,7900000000
2021-03-13,7570861016.0,209191016.0,52297754,67650214,7900000000
2021-03-14,7570018393.0,209668564.0,52417141,67895902,7900000000
2021-03-15,7569407489.0,209925384.0,52481346,68185781,7900000000
2021-03-16,7568138259.0,210727580.0,52681895,68452266,7900000000
2021-03-17,7566467823.0,211852300.0,52963075,68716802,7900000000
2021-03-18,7564804482.0,212967712.0,53241928,68985878,7900000000
2021-03-19,7563108031.0,214101624.0,53525406,69264939,7900000000
2021-03-20,7561648640.0,215062568.0,53765642,69523150,7900000000
2021-03-21,7560566691.0,215704048.0,53926012,69803249,7900000000
2021-03-22,7559799252.0,216050296.0,54012574,70137878,7900000000
2021-03-23,7558522625.0,216821084.0,54205271,70451020,7900000000
2021-03-24,7556716698.0,217997312.0,54499328,70786662,7900000000
2021-03-25,7554703001.0,219358816.0,54839704,71098479,7900000000
2021-03-26,7552961135.0,220460640.0,55115160,71463065,7900000000
2021-03-27,7551259482.0,221577760.0,55394440,71768318,7900000000
