time,s,i,r
0,7899999443,529,28
1,7899999343,627,30
2,7899998956,908,36
3,7899998176,1398,39
4,7899997000,2068,52
5,7899995508,2868,61
6,7899992048,5473,107
7,7899988908,6043,126
8,7899986538,8094,143
9,7899983273,9705,222
10,7899980155,11754,284
11,7899974104,16315,472
12,7899968906,19264,623
13,7899962383,23047,852
14,7899956694,26520,1124
15,7899951477,29319,1487
16,7899946832,32389,2011
17,7899945256,34515,2616
18,7899942594,36918,3244
19,7899940966,38825,3946
20,7899940059,40131,4683
21,7899940760,40082,5150
22,7899928784,54089,6295
23,7899909835,58854,8058
24,7899904195,59660,9395
25,7899902478,60373,10865
26,7899900303,60690,12583
27,7899896804,60803,14352
28,7899909574,59534,16121
29,7899915041,58039,18177
30,7899915993,57956,18890
31,7899915784,55722,22886
32,7899915675,55596,23394
33,7899916607,54331,25227
34,7899915685,52507,27905
35,7899914420,51000,30384
36,7899912734,49451,33277
37,7899911728,47441,36711
38,7899908815,46241,39782
39,7899905133,45686,42716
40,7899901628,44780,45602
41,7899898008,44766,48228
42,7899894396,44168,51170
43,7899890736,44282,53796
44,7899885883,46197,55865
45,7899880141,47841,58358
46,7899874186,49303,60694
47,7899868705,51798,62494
48,7899861995,54647,64404
49,7899852500,59524,67003
50,7899842252,64959,68324
51,7899826439,76226,70251
52,7899806155,84741,72624
53,7899788329,92564,76034
54,7899767288,105077,78088
55,7899745023,117499,80840
56,7899719044,132693,83207
57,7899687590,158133,84854
58,7899641861,185261,87256
59,7899591137,213445,91499
60,7899539065,241452,97704
61,7899477472,283377,98334
62,7899410595,314470,109123
63,7899344318,352689,122385
64,7899261553,397836,138052
65,7899169235,445298,154521
66,7899069934,496954,172447
67,7898986391,538911,187006
68,7898906747,587174,203754
69,7898814775,645409,223961
70,7898710790,709519,246208
71,7898605916,770727,267448
72,7898508840,833243,289142
73,7898421025,877876,304630
74,7898354200,931117,323104
75,7898286201,986592,342355
76,7898228894,1037771,360114
77,7898160228,1098777,381284
78,7898075081,1163499,403743
79,7897961599,1227658,426006
80,7897871377,1283719,445460
81,7897752007,1371752,476008
82,7897630532,1425079,494513
83,7897556243,1487909,516316
84,7897480535,1546006,536475
85,7897394233,1616137,560812
86,7897287400,1681378,583451
87,7897239849,1739471,603610
88,7897157107,1796132,623271
89,7897088936,1852911,642974
90,7897014623,1909397,662575
91,7896950966,1970301,683709
92,7896874091,2031709,705018
93,7896786063,2093745,726545
94,7896695617,2155515,747980
95,7896618099,2208072,766218
96,7896552407,2260770,784504
97,7896487629,2317066,804040
98,7896417186,2374474,823960
99,7896339769,2436576,845510
100,7896250376,2502608,868424
101,7896153963,2560709,888585
102,7896072688,2615643,907648
103,7895996886,2673280,927648
104,7895916892,2732437,948176
105,7895830437,2799565,971470
106,7895739823,2865740,994433
107,7895638464,2932913,1017743
108,7895537635,2995528,1039471
109,7895455706,3051373,1058849
110,7895384027,3107899,1078464
111,7895313028,3171209,1100434
112,7895232538,3233828,1122163
113,7895143031,3304831,1146802
114,7895035830,3376028,1171507
115,7894921261,3445730,1195695
116,7894825149,3503906,1215882
117,7894742934,3570076,1238844
118,7894642332,3641210,1263528
119,7894536733,3719475,1290686
120,7894421239,3798148,1317986
121,7894301814,3877837,1345639
122,7894168685,3955157,1372469
123,7894060451,4024359,1396483
124,7893974830,4089854,1419211
125,7893899668,4158423,1443004
126,7893810723,4234559,1469424
127,7893695516,4323640,1500336
128,7893558237,4413792,1531620
129,7893394974,4514046,1566409
130,7893245294,4590408,1592907
131,7893134532,4664843,1618736
132,7893014183,4755890,1650330
133,7892900319,4838455,1678981
134,7892772309,4941075,1714591
135,7892635716,5040114,1748958
136,7892475840,5136127,1782275
137,7892335762,5218541,1810873
138,7892244343,5295042,1837420
139,7892126529,5388569,1869875
140,7892001615,5490396,1905210
141,7891861673,5591499,1940293
142,7891727343,5686134,1973132
143,7891576973,5785546,2007628
144,7891414166,5883501,2041620
145,7891283289,5976234,2073799
146,7891151640,6083063,2110869
147,7891000725,6189374,2147760
148,7890841903,6295605,2184623
149,7890651721,6429974,2231250
150,7890416789,6567971,2279136
151,7890262756,6637059,2303110
152,7890171261,6742724,2339777
153,7890004008,6867536,2383088
154,7889807543,6994808,2427252
155,7889637588,7128078,2473497
156,7889451466,7270979,2523086
157,7889175626,7401945,2568532
158,7888973089,7527005,2611929
159,7888820073,7640355,2651261
160,7888655056,7776784,2698603
161,7888435672,7936492,2754023
162,7888208064,8088659,2806826
163,7887976868,8239094,2859029
164,7887752973,8379935,2907902
165,7887529721,8518182,2955875
166,7887358999,8643106,2999224
167,7887196285,8798687,3053212
168,7886976400,8958513,3108672
169,7886739156,9125250,3166531
170,7886471393,9298137,3226525
171,7886211912,9456132,3281350
172,7885974433,9599362,3331052
173,7885796592,9743740,3381152
174,7885596373,9907827,3438092
175,7885370156,10078417,3497288
176,7885128339,10260236,3560381
177,7884858827,10436494,3621543
178,7884578998,10611208,3682170
179,7884326244,10768513,3736756
180,7884127236,10923036,3790377
181,7883905857,11103451,3852983
182,7883632392,11307872,3923918
183,7883314825,11515466,3995955
184,7882987029,11725937,4068990
185,7882665857,11911205,4133279
186,7882412635,12068449,4187844
187,7882209461,12242454,4248225
188,7881986544,12438360,4316206
189,7881732054,12638978,4385822
190,7881463545,12848168,4458413
191,7881143859,13061576,4532467
192,7880821935,13244404,4595910
193,7880579439,13415607,4655318
194,7880406658,13568580,4708402
195,7880205531,13765539,4776747
196,7879946852,13969811,4847631
197,7879672456,14182654,4921490
198,7879349591,14392329,4994249
199,7879032541,14589230,5062575
200,7878740376,14762202,5122598
201,7878539473,14935336,5182676
202,7878315854,15132486,5251089
203,7878061923,15336694,5321951
204,7877779193,15552056,5396683
205,7877447253,15780023,5475789
206,7877124149,15964896,5539942
207,7876898294,16120828,5594051
208,7876740934,16278869,5648892
209,7876543718,16471447,5715718
210,7876296934,16677439,5787200
211,7876055054,16878982,5857136
212,7875770648,17073452,5924619
213,7875455207,17269092,5992508
214,7875201801,17419618,6044741
215,7875030346,17588956,6103503
216,7874834512,17770995,6166672
217,7874579092,17980119,6239239
218,7874272091,18193379,6313242
219,7873964418,18404171,6386389
220,7873622504,18597737,6453557
221,7873370132,18760867,6510165
